"","state","stateabb","year","binge_all","binge_male","binge_female","poverty"
"260","South Dakota","SD",2014,17.4,22.9,12.1,14.2
"261","Tennessee","TN",2014,10.6,15.7,5.9,18.3
"262","Texas","TX",2014,16.3,22.1,10.8,17.2
"263","Utah","UT",2014,11.4,15.3,7.5,11.7
"264","Virginia","VA",2014,15.2,20,10.7,11.8
"265","Virgin Islands","VI",2014,NA,NA,NA,NA
"266","Vermont","VT",2014,17.9,23.5,12.7,12.2
"267","Washington","WA",2014,17.1,22.4,11.9,13.2
"268","Wisconsin","WI",2014,22.1,29.3,15,13.2
"269","West Virginia","WV",2014,9.6,14.5,5,18.3
"270","Wyoming","WY",2014,17.2,23.8,10.3,11.2
"271","Alaska","AK",2013,19.5,23.8,14.8,9.3
"272","Alabama","AL",2013,11.2,16.3,6.5,18.7
"273","Arkansas","AR",2013,12.5,17.5,8,19.7
"274","Arizona","AZ",2013,13.4,18,9.1,18.6
"275","California","CA",2013,17.4,23.3,11.9,16.8
"276","Colorado","CO",2013,18.5,23.6,13.5,13
"277","Connecticut","CT",2013,18.2,24.3,12.5,10.7
"278","District of Columbia","DC",2013,22.4,28.2,17.1,18.9
"279","Delaware","DE",2013,17,22.4,12,12.4
"280","Florida","FL",2013,15.6,21.7,9.9,17
"281","Georgia","GA",2013,13.1,17.3,9.2,19
"282","Guam","GU",2013,20.9,33.8,8.4,NA
"283","Hawaii","HI",2013,18.3,25.4,11.2,10.8
"284","Iowa","IA",2013,21.7,28.5,15.1,12.7
"285","Idaho","ID",2013,14.9,18.9,10.9,15.6
"286","Illinois","IL",2013,21.8,28.4,15.5,14.7
"287","Indiana","IN",2013,15,20.2,10.3,15.9
"288","Kansas","KS",2013,15.4,21.7,9.3,14
"289","Kentucky","KY",2013,13.4,18.5,8.6,18.8
"290","Louisiana","LA",2013,16.3,22,11.1,19.8
"291","Massachusetts","MA",2013,19.4,25.5,13.8,11.9
"292","Maryland","MD",2013,14.2,18.9,10.1,10.1
"293","Maine","ME",2013,17.2,22.2,12.5,14
"294","Michigan","MI",2013,18.9,24.1,13.9,17
"295","Minnesota","MN",2013,21,27,15.1,11.2
"296","Missouri","MO",2013,17.2,23.5,11.3,15.9
"297","Mississippi","MS",2013,12.4,16.5,8.7,24
"298","Montana","MT",2013,20.8,27.3,14.3,16.5
"299","North Carolina","NC",2013,13,17.9,8.6,17.9
"300","North Dakota","ND",2013,23.8,32.2,15.5,11.8
"301","Nebraska","NE",2013,20,25.2,15,13.2
"302","New Hampshire","NH",2013,16.8,21.7,12.2,8.7
"303","New Jersey","NJ",2013,16.3,21.5,11.6,11.4
"304","New Mexico","NM",2013,14.5,20.1,9.1,21.9
"305","Nevada","NV",2013,15.2,21.1,9.2,15.8
"306","New York","NY",2013,17.4,23.3,12.1,16
"307","Ohio","OH",2013,17.1,22.5,12.1,16
"308","Oklahoma","OK",2013,12.7,17.7,7.9,16.8
"309","Oregon","OR",2013,16.5,20.8,12.4,16.7
"310","Pennsylvania","PA",2013,17.2,24.2,10.7,13.7
"311","Puerto Rico","PR",2013,15,23.6,7.5,45.4
"312","Rhode Island","RI",2013,17.8,23.4,12.7,14.3
"313","South Carolina","SC",2013,14.9,21.2,9.3,18.6
"314","South Dakota","SD",2013,19.2,25,13.5,14.2
"315","Tennessee","TN",2013,9.6,13.1,6.5,17.8
"316","Texas","TX",2013,16.7,23.5,10.2,17.5
"317","Utah","UT",2013,12.3,16.2,8.5,12.7
"318","Virginia","VA",2013,15.9,22,10.3,11.7
"319","Virgin Islands","VI",2013,NA,NA,NA,NA
"320","Vermont","VT",2013,17.1,22.5,12.1,12.3
"321","Washington","WA",2013,16.8,21.3,12.4,14.1
"322","Wisconsin","WI",2013,22.5,28.8,16.4,13.5
"323","West Virginia","WV",2013,11.2,15.9,6.7,18.5
"324","Wyoming","WY",2013,16.6,22.3,10.7,10.9
"325","Alaska","AK",2010,NA,NA,NA,9.9
"326","Alabama","AL",2010,NA,NA,NA,19
"327","Arkansas","AR",2010,NA,NA,NA,18.8
"328","Arizona","AZ",2010,NA,NA,NA,17.4
"329","California","CA",2010,NA,NA,NA,15.8
"330","Colorado","CO",2010,NA,NA,NA,13.4
"331","Connecticut","CT",2010,NA,NA,NA,10.1
"332","District of Columbia","DC",2010,NA,NA,NA,19.2
"333","Delaware","DE",2010,NA,NA,NA,11.8
"334","Florida","FL",2010,NA,NA,NA,16.5
"335","Georgia","GA",2010,NA,NA,NA,17.9
"336","Hawaii","HI",2010,NA,NA,NA,10.7
"337","Iowa","IA",2010,NA,NA,NA,12.6
"338","Idaho","ID",2010,NA,NA,NA,15.7
"339","Illinois","IL",2010,NA,NA,NA,13.8
"340","Indiana","IN",2010,NA,NA,NA,15.3
"341","Kansas","KS",2010,NA,NA,NA,13.6
"342","Kentucky","KY",2010,NA,NA,NA,19
"343","Louisiana","LA",2010,NA,NA,NA,18.7
"344","Massachusetts","MA",2010,NA,NA,NA,11.4
"345","Maryland","MD",2010,NA,NA,NA,9.9
"346","Maine","ME",2010,NA,NA,NA,12.9
"347","Michigan","MI",2010,NA,NA,NA,16.8
"348","Minnesota","MN",2010,NA,NA,NA,11.6
"349","Missouri","MO",2010,NA,NA,NA,15.3
"350","Mississippi","MS",2010,NA,NA,NA,22.4
"351","Montana","MT",2010,NA,NA,NA,14.6
"352","North Carolina","NC",2010,NA,NA,NA,17.5
"353","North Dakota","ND",2010,NA,NA,NA,13
"354","Nebraska","NE",2010,NA,NA,NA,12.9
"355","New Hampshire","NH",2010,NA,NA,NA,8.3
"356","New Jersey","NJ",2010,NA,NA,NA,10.3
"357","New Mexico","NM",2010,NA,NA,NA,20.4
"358","Nevada","NV",2010,NA,NA,NA,14.9
"359","New York","NY",2010,NA,NA,NA,14.9
"360","Ohio","OH",2010,NA,NA,NA,15.8
"361","Oklahoma","OK",2010,NA,NA,NA,16.9
"362","Oregon","OR",2010,NA,NA,NA,15.8
"363","Pennsylvania","PA",2010,NA,NA,NA,13.4
"364","Puerto Rico","PR",2010,NA,NA,NA,45
"365","Rhode Island","RI",2010,NA,NA,NA,14
"366","South Carolina","SC",2010,NA,NA,NA,18.2
"367","South Dakota","SD",2010,NA,NA,NA,14.4
"368","Tennessee","TN",2010,NA,NA,NA,17.7
"369","Texas","TX",2010,NA,NA,NA,17.9
"370","Utah","UT",2010,NA,NA,NA,13.2
"371","Virginia","VA",2010,NA,NA,NA,11.1
"372","Vermont","VT",2010,NA,NA,NA,12.7
"373","Washington","WA",2010,NA,NA,NA,13.4
"374","Wisconsin","WI",2010,NA,NA,NA,13.2
"375","West Virginia","WV",2010,NA,NA,NA,18.1
"376","Wyoming","WY",2010,NA,NA,NA,11.2
